File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,13:17:48,10,200330,25SQCMICSBB223F00B277,DOC,1,13:17:48
9/26/22,13:17:48,10,200330,25SQCMICSBB223F00B277,DOC,2,13:17:48
9/26/22,13:17:48,10,200330,25SQCMICSBB223F00B277,DOC,1,13:17:48
9/26/22,13:17:48,10,200330,25SQCMICSBB223F00B277,DOC,2,13:17:48
9/26/22,13:17:49,10,200330,25SQCMICSBB223F00B277,DOC,1,13:17:49
9/26/22,13:17:49,10,200330,25SQCMICSBB223F00B277,DOC,2,13:17:49
9/26/22,13:17:49,10,200330,25SQCMICSBB223F00B277,DOC,1,13:17:49
9/26/22,13:17:49,10,200330,25SQCMICSBB223F00B277,DOC,2,13:17:49
9/26/22,13:17:49,10,200330,25SQCMICSBB223F00B277,DOC,1,13:17:49
9/26/22,13:17:49,10,200330,25SQCMICSBB223F00B277,DOC,2,13:17:49
9/26/22,13:17:50,10,200330,25SQCMICSBB223F00B277,DOC,1,13:17:50
9/26/22,13:17:50,10,200330,25SQCMICSBB223F00B277,DOC,2,13:17:50
9/26/22,14:57:24,10,200330,25SQCMICSBB223F00B277,DOC,2,14:57:24
9/26/22,14:57:24,10,200330,25SQCMICSBB223F00B277,DOC,1,14:57:24
9/26/22,14:57:24,10,200330,25SQCMICSBB223F00B277,DOC,2,14:57:24
9/26/22,14:57:24,10,200330,25SQCMICSBB223F00B277,DOC,1,14:57:24
9/26/22,15:40:12,10,200330,25SQCMICSBB223F00B277,DOC,1,15:40:12
9/26/22,15:40:14,10,200330,25SQCMICSBB223F00B277,DOC,2,15:40:14
9/26/22,14:20:20,10,200330,25SQCMICSBB23D000B1FE,DOC,2,14:20:20
9/26/22,14:20:21,10,200330,25SQCMICSBB23D000B1FE,DOC,1,14:20:21
9/26/22,14:20:21,10,200330,25SQCMICSBB23D000B1FE,DOC,2,14:20:21
9/26/22,14:20:21,10,200330,25SQCMICSBB23D000B1FE,DOC,1,14:20:21
9/26/22,14:20:21,10,200330,25SQCMICSBB23D000B1FE,DOC,2,14:20:21
9/26/22,14:20:21,10,200330,25SQCMICSBB23D000B1FE,DOC,1,14:20:21
9/26/22,14:20:21,10,200330,25SQCMICSBB23D000B1FE,DOC,2,14:20:21
9/26/22,14:20:22,10,200330,25SQCMICSBB23D000B1FE,DOC,1,14:20:22
9/26/22,14:27:37,10,200330,25SQCMICSBB23D000B1FE,DOC,1,14:27:37
9/26/22,14:27:37,10,200330,25SQCMICSBB23D000B1FE,DOC,2,14:27:37
9/26/22,14:27:37,10,200330,25SQCMICSBB23D000B1FE,DOC,1,14:27:37
9/26/22,14:27:37,10,200330,25SQCMICSBB23D000B1FE,DOC,2,14:27:37
9/26/22,10:56:10,10,200330,25SQCMICSBB256500B0A5,DOC,2,10:56:10
9/26/22,10:56:11,10,200330,25SQCMICSBB256500B0A5,DOC,1,10:56:11
